time, Quad.Est.E.Yaw, Quad.Est.E.Pitch, Quad.Est.E.Roll
0.005000,0.000000,-0.000026,0.000010
0.010000,0.000000,-0.000159,0.000009
0.015000,-0.000000,-0.000734,0.000010
0.020000,-0.000001,-0.001400,-0.000002
0.025000,-0.000004,-0.002824,-0.000045
0.030000,-0.000004,-0.004049,-0.000065
0.035000,-0.000004,-0.006072,-0.000101
0.040000,-0.000002,-0.007429,-0.000110
0.045000,0.000001,-0.009292,-0.000111
0.050000,0.000005,-0.010295,-0.000113
0.055000,0.000010,-0.011345,-0.000115
0.060000,0.000012,-0.011697,-0.000111
0.065000,0.000015,-0.011735,-0.000068
0.070000,0.000017,-0.011443,-0.000036
0.075000,0.000019,-0.010645,-0.000012
0.080000,0.000019,-0.009925,-0.000013
0.085000,0.000017,-0.008690,-0.000029
0.090000,0.000015,-0.007842,-0.000029
0.095000,0.000013,-0.006633,-0.000024
0.100000,0.000011,-0.005893,-0.000015
0.105000,0.000009,-0.004936,-0.000001
0.110000,0.000008,-0.004420,0.000008
0.115000,0.000004,-0.003791,0.000011
0.120000,0.000001,-0.003470,0.000006
0.125000,-0.000003,-0.003144,-0.000013
0.130000,-0.000005,-0.003005,-0.000010
0.135000,-0.000007,-0.002900,0.000010
0.140000,-0.000009,-0.002868,0.000029
0.145000,-0.000011,-0.002851,0.000055
0.150000,-0.000013,-0.002847,0.000082
0.155000,-0.000015,-0.002809,0.000099
0.160000,-0.000018,-0.002599,0.000116
0.165000,-0.000021,-0.001712,0.000124
0.170000,-0.000023,-0.000709,0.000126
0.175000,-0.000027,0.001403,0.000114
0.180000,-0.000030,0.003172,0.000089
0.185000,-0.000034,0.006290,-0.000047
0.190000,-0.000040,0.008593,-0.000156
0.195000,-0.000058,0.012219,-0.000309
0.200000,-0.000076,0.014593,-0.000291
0.205000,-0.000103,0.017857,-0.000277
0.210000,-0.000122,0.019680,-0.000267
0.215000,-0.000153,0.021555,-0.000276
0.220000,-0.000175,0.022147,-0.000293
0.225000,-0.000210,0.022163,-0.000318
0.230000,-0.000232,0.021690,-0.000331
0.235000,-0.000264,0.020425,-0.000333
0.240000,-0.000284,0.019302,-0.000338
0.245000,-0.000314,0.017399,-0.000343
0.250000,-0.000333,0.016047,-0.000335
0.255000,-0.000359,0.013978,-0.000310
0.260000,-0.000375,0.012599,-0.000300
0.265000,-0.000398,0.010572,-0.000285
0.270000,-0.000413,0.009276,-0.000293
0.275000,-0.000433,0.007445,-0.000304
0.280000,-0.000445,0.006327,-0.000310
0.285000,-0.000461,0.004822,-0.000342
0.290000,-0.000471,0.003983,-0.000370
0.295000,-0.000483,0.003000,-0.000416
0.300000,-0.000490,0.002517,-0.000433
0.305000,-0.000499,0.002049,-0.000415
0.310000,-0.000505,0.001869,-0.000399
0.314999,-0.000512,0.001747,-0.000388
0.319999,-0.000515,0.001760,-0.000384
0.324999,-0.000518,0.001877,-0.000383
0.329999,-0.000520,0.001996,-0.000384
0.334999,-0.000523,0.002222,-0.000398
0.339999,-0.000525,0.002360,-0.000416
0.344999,-0.000529,0.002501,-0.000456
0.349999,-0.000532,0.002547,-0.000481
0.354999,-0.000540,0.002508,-0.000489
0.359999,-0.000546,0.002435,-0.000495
0.364999,-0.000553,0.002283,-0.000524
0.369999,-0.000558,0.002130,-0.000534
0.374999,-0.000565,0.001857,-0.000495
0.379999,-0.000569,0.001682,-0.000458
0.384999,-0.000574,0.001410,-0.000412
0.389999,-0.000575,0.001252,-0.000404
0.394998,-0.000578,0.001073,-0.000422
0.399998,-0.000579,0.000978,-0.000434
0.404998,-0.000581,0.000868,-0.000446
0.409998,-0.000584,0.000805,-0.000470
0.414998,-0.000588,0.000764,-0.000489
0.419998,-0.000591,0.000743,-0.000510
0.424998,-0.000595,0.000663,-0.000545
0.429998,-0.000596,0.000518,-0.000551
0.434998,-0.000597,0.000096,-0.000536
0.439998,-0.000598,-0.000339,-0.000542
0.444998,-0.000599,-0.001176,-0.000566
0.449998,-0.000598,-0.001838,-0.000574
0.454998,-0.000595,-0.002920,-0.000563
0.459998,-0.000591,-0.003662,-0.000556
0.464998,-0.000583,-0.004734,-0.000524
0.469997,-0.000578,-0.005392,-0.000502
0.474997,-0.000566,-0.006260,-0.000478
0.479997,-0.000557,-0.006752,-0.000476
0.484997,-0.000543,-0.007349,-0.000482
0.489997,-0.000533,-0.007662,-0.000499
0.494997,-0.000517,-0.008024,-0.000506
0.499997,-0.000506,-0.008170,-0.000510
0.504997,-0.000490,-0.008235,-0.000478
0.509997,-0.000479,-0.008203,-0.000454
0.514997,-0.000464,-0.008062,-0.000418
0.519997,-0.000454,-0.007922,-0.000397
0.524997,-0.000439,-0.007701,-0.000363
0.529997,-0.000430,-0.007557,-0.000350
0.534997,-0.000419,-0.007344,-0.000321
0.539997,-0.000412,-0.007203,-0.000304
0.544997,-0.000402,-0.007039,-0.000294
0.549996,-0.000396,-0.006944,-0.000288
0.554996,-0.000385,-0.006815,-0.000287
0.559996,-0.000377,-0.006744,-0.000302
0.564996,-0.000365,-0.006637,-0.000333
0.569996,-0.000356,-0.006560,-0.000355
0.574996,-0.000344,-0.006410,-0.000408
0.579996,-0.000336,-0.006293,-0.000455
0.584996,-0.000324,-0.006089,-0.000503
0.589996,-0.000316,-0.005932,-0.000525
0.594996,-0.000304,-0.005677,-0.000559
0.599996,-0.000296,-0.005487,-0.000569
0.604996,-0.000287,-0.005191,-0.000566
0.609996,-0.000281,-0.004985,-0.000563
0.614996,-0.000274,-0.004687,-0.000552
0.619996,-0.000270,-0.004495,-0.000539
0.624996,-0.000264,-0.004206,-0.000505
0.629995,-0.000261,-0.003997,-0.000476
0.634995,-0.000256,-0.003695,-0.000439
0.639995,-0.000252,-0.003482,-0.000411
0.644995,-0.000246,-0.003137,-0.000383
0.649995,-0.000244,-0.002908,-0.000358
0.654995,-0.000242,-0.002563,-0.000318
0.659995,-0.000242,-0.002339,-0.000292
0.664995,-0.000244,-0.002003,-0.000283
0.669995,-0.000245,-0.001784,-0.000294
0.674995,-0.000244,-0.001442,-0.000310
0.679995,-0.000243,-0.001209,-0.000329
0.684995,-0.000242,-0.000867,-0.000348
0.689995,-0.000241,-0.000633,-0.000360
0.694995,-0.000243,-0.000323,-0.000388
0.699995,-0.000245,-0.000152,-0.000419
0.704994,-0.000249,0.000091,-0.000427
0.709994,-0.000251,0.000247,-0.000413
0.714994,-0.000254,0.000455,-0.000391
0.719994,-0.000257,0.000576,-0.000389
0.724994,-0.000260,0.000729,-0.000361
0.729994,-0.000261,0.000825,-0.000324
0.734994,-0.000261,0.000953,-0.000278
0.739994,-0.000261,0.001054,-0.000283
0.744994,-0.000261,0.001204,-0.000305
0.749994,-0.000261,0.001304,-0.000326
