time, Quad.Roll, Quad.Est.Roll, Quad.Pitch, Quad.Est.Pitch, Quad.Yaw, Quad.Est.Yaw
0.005000,0.000015,0.000018,-0.000029,-0.000038,0.000000,0.000000
0.010000,0.000052,0.000046,-0.000420,-0.000337,0.000002,0.000002
0.015000,0.000094,0.000097,-0.002023,-0.002281,0.000003,0.000003
0.020000,0.000102,0.000104,-0.006023,-0.005464,-0.000001,-0.000000
0.025000,0.000003,-0.000013,-0.013575,-0.014546,-0.000012,-0.000013
0.030000,-0.000187,-0.000166,-0.025853,-0.024358,-0.000024,-0.000024
0.035000,-0.000471,-0.000507,-0.043627,-0.045690,-0.000033,-0.000035
0.040000,-0.000827,-0.000793,-0.067067,-0.064448,-0.000033,-0.000036
0.045000,-0.001185,-0.001223,-0.095879,-0.099013,-0.000018,-0.000021
0.050000,-0.001560,-0.001522,-0.129209,-0.125701,0.000018,0.000006
0.055000,-0.001950,-0.001988,-0.165872,-0.169682,0.000077,0.000073
0.060000,-0.002334,-0.002296,-0.204473,-0.200592,0.000159,0.000136
0.065000,-0.002633,-0.002652,-0.243593,-0.247526,0.000258,0.000252
0.070000,-0.002793,-0.002778,-0.281901,-0.278197,0.000372,0.000342
0.075000,-0.002871,-0.002871,-0.318283,-0.321854,0.000498,0.000492
0.080000,-0.002940,-0.002923,-0.351860,-0.348733,0.000629,0.000596
0.085000,-0.003050,-0.003053,-0.382084,-0.385013,0.000759,0.000751
0.090000,-0.003183,-0.003161,-0.408735,-0.406341,0.000887,0.000851
0.095000,-0.003306,-0.003307,-0.431926,-0.434189,0.001012,0.001000
0.100000,-0.003408,-0.003388,-0.451885,-0.450159,0.001134,0.001097
0.105000,-0.003467,-0.003459,-0.468990,-0.470711,0.001250,0.001236
0.110000,-0.003491,-0.003478,-0.483726,-0.482503,0.001364,0.001327
0.115000,-0.003494,-0.003482,-0.496548,-0.497910,0.001470,0.001454
0.120000,-0.003515,-0.003498,-0.507849,-0.506955,0.001565,0.001530
0.125000,-0.003588,-0.003584,-0.518050,-0.519219,0.001649,0.001630
0.130000,-0.003669,-0.003648,-0.527534,-0.526812,0.001726,0.001691
0.135000,-0.003715,-0.003703,-0.536606,-0.537714,0.001798,0.001777
0.140000,-0.003679,-0.003672,-0.545460,-0.544806,0.001863,0.001829
0.145000,-0.003576,-0.003549,-0.554195,-0.555305,0.001922,0.001900
0.150000,-0.003371,-0.003384,-0.562862,-0.562248,0.001974,0.001941
0.155000,-0.003098,-0.003056,-0.571435,-0.572546,0.002019,0.001996
0.160000,-0.002770,-0.002793,-0.579425,-0.578973,0.002054,0.002024
0.165000,-0.002408,-0.002358,-0.585455,-0.586198,0.002077,0.002052
0.170000,-0.002031,-0.002056,-0.587835,-0.588139,0.002091,0.002063
0.175000,-0.001679,-0.001634,-0.584858,-0.584557,0.002095,0.002068
0.180000,-0.001396,-0.001410,-0.574954,-0.576665,0.002088,0.002061
0.185000,-0.001167,-0.001260,-0.556760,-0.554830,0.002073,0.002042
0.190000,-0.000905,-0.001172,-0.529202,-0.532804,0.002053,0.002021
0.195000,-0.000579,-0.000959,-0.491642,-0.487748,0.002034,0.001980
0.200000,-0.000204,-0.000650,-0.444035,-0.449662,0.002025,0.001951
0.205000,0.000185,-0.000169,-0.387011,-0.381267,0.002037,0.001929
0.210000,0.000566,0.000145,-0.321794,-0.329068,0.002076,0.001934
0.215000,0.000926,0.000585,-0.250482,-0.243551,0.002143,0.001975
0.220000,0.001195,0.000805,-0.175753,-0.183735,0.002230,0.002018
0.225000,0.001392,0.001042,-0.100179,-0.093087,0.002326,0.002097
0.230000,0.001509,0.001136,-0.025918,-0.033654,0.002426,0.002154
0.235000,0.001615,0.001261,0.045327,0.051814,0.002529,0.002244
0.240000,0.001717,0.001339,0.112235,0.105355,0.002634,0.002307
0.245000,0.001815,0.001453,0.174019,0.179495,0.002739,0.002404
0.250000,0.001940,0.001547,0.230250,0.224488,0.002841,0.002468
0.255000,0.002148,0.001789,0.280729,0.285075,0.002944,0.002564
0.260000,0.002431,0.002011,0.325418,0.320834,0.003048,0.002630
0.265000,0.002779,0.002419,0.364391,0.367619,0.003154,0.002734
0.270000,0.003146,0.002709,0.397838,0.394381,0.003258,0.002804
0.275000,0.003492,0.003119,0.426046,0.428252,0.003355,0.002903
0.280000,0.003840,0.003393,0.449401,0.446939,0.003446,0.002966
0.285000,0.004136,0.003743,0.468360,0.469715,0.003526,0.003050
0.290000,0.004338,0.003903,0.483537,0.481856,0.003593,0.003097
0.295000,0.004415,0.003993,0.495694,0.496469,0.003648,0.003155
0.300000,0.004397,0.003975,0.505550,0.504353,0.003690,0.003185
0.305000,0.004410,0.003987,0.513835,0.514320,0.003718,0.003214
0.310000,0.004490,0.004051,0.521156,0.520179,0.003735,0.003224
0.314999,0.004619,0.004202,0.527970,0.528378,0.003743,0.003230
0.319999,0.004776,0.004328,0.534658,0.533735,0.003748,0.003231
0.324999,0.004944,0.004526,0.541543,0.542015,0.003755,0.003235
0.329999,0.005119,0.004664,0.548836,0.547857,0.003766,0.003241
0.334999,0.005278,0.004852,0.556687,0.557293,0.003784,0.003257
0.339999,0.005382,0.004933,0.565093,0.564030,0.003808,0.003272
0.344999,0.005388,0.004940,0.573916,0.574629,0.003838,0.003303
0.349999,0.005292,0.004858,0.582956,0.581876,0.003871,0.003325
0.354999,0.005161,0.004698,0.591943,0.592670,0.003900,0.003355
0.359999,0.005019,0.004584,0.600642,0.599642,0.003921,0.003368
0.364999,0.004819,0.004341,0.608917,0.609586,0.003936,0.003381
0.369999,0.004562,0.004132,0.616598,0.615743,0.003942,0.003383
0.374999,0.004377,0.003908,0.623496,0.624037,0.003942,0.003378
0.379999,0.004340,0.003877,0.629612,0.628940,0.003934,0.003369
0.384999,0.004454,0.004010,0.634936,0.635344,0.003923,0.003351
0.389999,0.004638,0.004157,0.639521,0.639019,0.003912,0.003340
0.394998,0.004807,0.004356,0.643521,0.643834,0.003902,0.003326
0.399998,0.004913,0.004440,0.647053,0.646665,0.003895,0.003318
0.404998,0.004995,0.004537,0.650222,0.650482,0.003889,0.003309
0.409998,0.005004,0.004541,0.653077,0.652772,0.003880,0.003300
0.414998,0.004953,0.004478,0.655745,0.655987,0.003865,0.003280
0.419998,0.004837,0.004387,0.658277,0.658023,0.003841,0.003260
0.424998,0.004609,0.004116,0.660620,0.660842,0.003811,0.003222
0.429998,0.004335,0.003896,0.662459,0.662330,0.003777,0.003195
0.434998,0.004082,0.003593,0.663292,0.663333,0.003742,0.003152
0.439998,0.003835,0.003398,0.662478,0.662701,0.003703,0.003121
0.444998,0.003520,0.003022,0.659466,0.659092,0.003657,0.003068
0.449998,0.003145,0.002722,0.653786,0.654563,0.003606,0.003029
0.454998,0.002776,0.002285,0.645133,0.644190,0.003549,0.002966
0.459998,0.002434,0.002013,0.633371,0.634789,0.003488,0.002921
0.464998,0.002150,0.001677,0.618541,0.617011,0.003425,0.002854
0.469997,0.001945,0.001517,0.600842,0.602857,0.003357,0.002807
0.474997,0.001787,0.001336,0.580573,0.578556,0.003289,0.002737
0.479997,0.001655,0.001236,0.558089,0.560573,0.003221,0.002691
0.484997,0.001490,0.001044,0.533772,0.531414,0.003153,0.002623
0.489997,0.001258,0.000861,0.507991,0.510796,0.003090,0.002582
0.494997,0.000974,0.000527,0.481055,0.478495,0.003033,0.002527
0.499997,0.000657,0.000275,0.453323,0.456313,0.002986,0.002498
0.504997,0.000377,-0.000053,0.425225,0.422619,0.002949,0.002466
0.509997,0.000190,-0.000201,0.397118,0.400141,0.002919,0.002451
